COM;
 
List available comets:
 COM;
Continue [ <cr>=yes, n=no, ? ] : 
Searching ...   - \ | *******************************************************************************
JPL/DASTCOM3               Small-body Search Results       2011-Nov-27 22:48:29

 List available comets:                                                  
    COM;

 Matching small-bodies: 

    Record #  Epoch-yr  Primary Desig  Name                    
     900474     1958    43P             Wolf-Harrington        
     900475     1965    43P             Wolf-Harrington        
     900476     1971    43P             Wolf-Harrington        
     900477     1978    43P             Wolf-Harrington        
     900478     1984    43P             Wolf-Harrington        
     900479     1991    43P             Wolf-Harrington        
     900480     1998    43P             Wolf-Harrington        
     900481     2011    43P             Wolf-Harrington        
     900482     1947    44P             Reinmuth 2             
     900483     1954    44P             Reinmuth 2             
     900484     1960    44P             Reinmuth 2             
     900485     1967    44P             Reinmuth 2             
     900486     1974    44P             Reinmuth 2             
     900487     1981    44P             Reinmuth 2             
     900488     1987    44P             Reinmuth 2             
     900489     1994    44P             Reinmuth 2             
     900490     2001    44P             Reinmuth 2             
     900491     2009    44P             Reinmuth 2             
     900492     1948    45P             Honda-Mrkos-Pajdusakova
     900493     1954    45P             Honda-Mrkos-Pajdusakova
     900494     1964    45P             Honda-Mrkos-Pajdusakova
     900495     1969    45P             Honda-Mrkos-Pajdusakova
     900496     1974    45P             Honda-Mrkos-Pajdusakova
     900497     1980    45P             Honda-Mrkos-Pajdusakova
     900498     1985    45P             Honda-Mrkos-Pajdusakova
     900499     1990    45P             Honda-Mrkos-Pajdusakova
     900500     1997    45P             Honda-Mrkos-Pajdusakova
     900501     2006    45P             Honda-Mrkos-Pajdusakova
     900502     2011    45P             Honda-Mrkos-Pajdusakova
     900503     1947    46P             Wirtanen               
     900504     1954    46P             Wirtanen               
     900505     1961    46P             Wirtanen               
     900506     1967    46P             Wirtanen               
     900507     1974    46P             Wirtanen               
     900508     1986    46P             Wirtanen               
     900509     1991    46P             Wirtanen               
     900510     1997    46P             Wirtanen               
     900511     1999    46P             Wirtanen               
     900512     2008    46P             Wirtanen               
     900513     1948    47P             Ashbrook-Jackson       
     900514     1956    47P             Ashbrook-Jackson       
     900515     1963    47P             Ashbrook-Jackson       
     900516     1971    47P             Ashbrook-Jackson       
     900517     1978    47P             Ashbrook-Jackson       
     900518     1986    47P             Ashbrook-Jackson       
     900519     1993    47P             Ashbrook-Jackson       
     900520     2001    47P             Ashbrook-Jackson       
     900521     2009    47P             Ashbrook-Jackson       
     900522     1949    48P             Johnson                
     900523     1956    48P             Johnson                
     900524     1963    48P             Johnson                
     900525     1970    48P             Johnson                
     900526     1977    48P             Johnson                
     900527     1983    48P             Johnson                
     900528     1990    48P             Johnson                
     900529     1997    48P             Johnson                
     900530     2011    48P             Johnson                
     900531     1950    49P             Arend-Rigaux           
     900532     1957    49P             Arend-Rigaux           
     900533     1964    49P             Arend-Rigaux           
     900534     1971    49P             Arend-Rigaux           
     900535     1978    49P             Arend-Rigaux           
     900536     1984    49P             Arend-Rigaux           
     900537     1991    49P             Arend-Rigaux           
     900538     1998    49P             Arend-Rigaux           
     900539     2011    49P             Arend-Rigaux           
     900540     1951    50P             Arend                  
     900541     1959    50P             Arend                  
     900542     1967    50P             Arend                  
     900543     1975    50P             Arend                  
     900544     1983    50P             Arend                  
     900545     1991    50P             Arend                  
     900546     1999    50P             Arend                  
     900547     2009    50P             Arend                  
     900548     1953    51P             Harrington             
     900549     1960    51P             Harrington             
     900550     1980    51P             Harrington             
     900551     1987    51P             Harrington             
     900552     2009    51P             Harrington             
     900553     2002    51P-A           Harrington             
     900554     1954    52P             Harrington-Abell       
     900555     1962    52P             Harrington-Abell       
     900556     1969    52P             Harrington-Abell       
     900557     1976    52P             Harrington-Abell       
     900558     1983    52P             Harrington-Abell       
     900559     1991    52P             Harrington-Abell       
     900560     1999    52P             Harrington-Abell       
     900561     2006    52P             Harrington-Abell       
     900562     1954    53P             Van Biesbroeck         
     900563     1966    53P             Van Biesbroeck         
     900564     1978    53P             Van Biesbroeck         
     900565     1991    53P             Van Biesbroeck         
     900566     2005    53P             Van Biesbroeck         
     900567     1844    54P             de Vico-Swift-NEAT     
     900568     1894    54P             de Vico-Swift-NEAT     
     900569     1965    54P             de Vico-Swift-NEAT     
     900570     2009    54P             de Vico-Swift-NEAT     
     900571     1366    55P             Tempel-Tuttle          
     900572     1699    55P             Tempel-Tuttle          
     900573     1865    55P             Tempel-Tuttle          
     900574     1965    55P             Tempel-Tuttle          
     900575     1998    55P             Tempel-Tuttle          
     900576     1958    56P             Slaughter-Burnham      
     900577     1970    56P             Slaughter-Burnham      
     900578     1981    56P             Slaughter-Burnham      
     900579     2006    56P             Slaughter-Burnham      
     900580     1941    57P             duToit-Neujmin-Delporte
     900581     1970    57P             duToit-Neujmin-Delporte
     900582     1983    57P             duToit-Neujmin-Delporte
     900583     1989    57P             duToit-Neujmin-Delporte
     900584     1996    57P             duToit-Neujmin-Delporte
     900585     2002    57P             duToit-Neujmin-Delporte
     900586     2010    57P             duToit-Neujmin-Delporte
     900587     2003    57P-A           duToit-Neujmin-Delporte
     900588     1936    58P             Jackson-Neujmin        
     900589     1970    58P             Jackson-Neujmin        
     900590     1979    58P             Jackson-Neujmin        
     900591     1987    58P             Jackson-Neujmin        
     900592     1996    58P             Jackson-Neujmin        
     900593     1963    59P             Kearns-Kwee            
     900594     1972    59P             Kearns-Kwee            
     900595     1981    59P             Kearns-Kwee            
     900596     1990    59P             Kearns-Kwee            
     900597     2010    59P             Kearns-Kwee            
     900598     1965    60P             Tsuchinshan 2          
     900599     1971    60P             Tsuchinshan 2          
     900600     1978    60P             Tsuchinshan 2          
     900601     1985    60P             Tsuchinshan 2          
     900602     1992    60P             Tsuchinshan 2          
     900603     1999    60P             Tsuchinshan 2          
     900604     2006    60P             Tsuchinshan 2          
     900605     2011    60P             Tsuchinshan 2          
     900606     1949    61P             Shajn-Schaldach        
     900607     1971    61P             Shajn-Schaldach        
     900608     1979    61P             Shajn-Schaldach        
     900609     1986    61P             Shajn-Schaldach        
     900610     1993    61P             Shajn-Schaldach        
     900611     2001    61P             Shajn-Schaldach        
     900612     2010    61P             Shajn-Schaldach        
     900613     1965    62P             Tsuchinshan 1          
     900614     1971    62P             Tsuchinshan 1          
     900615     1991    62P             Tsuchinshan 1          
     900616     2005    62P             Tsuchinshan 1          
     900617     1960    63P             Wild 1                 
     900618     1973    63P             Wild 1                 
     900619     2000    63P             Wild 1                 
     900620     1889    64P             Swift-Gehrels          
     900621     1972    64P             Swift-Gehrels          
     900622     1981    64P             Swift-Gehrels          
     900623     1991    64P             Swift-Gehrels          
     900624     2010    64P             Swift-Gehrels          
     900625     1953    65P             Gunn                   
     900626     1969    65P             Gunn                   
     900627     1976    65P             Gunn                   
     900628     1982    65P             Gunn                   
     900629     2011    65P             Gunn                   
     900630     1944    66P             du Toit                
     900631     1974    66P             du Toit                
     900632     2003    66P             du Toit                
     900633     1969    67P             Churyumov-Gerasimenko  
     900634     1976    67P             Churyumov-Gerasimenko  
     900635     1982    67P             Churyumov-Gerasimenko  
     900636     1989    67P             Churyumov-Gerasimenko  
     900637     1995    67P             Churyumov-Gerasimenko  
     900638     2002    67P             Churyumov-Gerasimenko  
     900639     2010    67P             Churyumov-Gerasimenko  
     900640     1965    68P             Klemola                
     900641     1976    68P             Klemola                
     900642     1987    68P             Klemola                
     900643     1998    68P             Klemola                
     900644     2008    68P             Klemola                
     900645     1916    69P             Taylor                 
     900646     1984    69P             Taylor                 
     900647     1997    69P             Taylor                 
     900648     2005    69P             Taylor                 
     900649     2011    69P             Taylor                 
     900650     1970    70P             Kojima                 
     900651     1978    70P             Kojima                 
     900652     1986    70P             Kojima                 
     900653     1994    70P             Kojima                 
     900654     2000    70P             Kojima                 
     900655     2008    70P             Kojima                 
     900656     1973    71P             Clark                  
     900657     1978    71P             Clark                  
     900658     1984    71P             Clark                  
     900659     1989    71P             Clark                  
     900660     1995    71P             Clark                  
     900661     1998    71P             Clark                  
     900662     2011    71P             Clark                  
     900663     1881    72D             Denning-Fujikawa       
     900664     1979    72D             Denning-Fujikawa       
     900665     1930    73P             Schwassmann-Wachmann 3 
     900666     1979    73P             Schwassmann-Wachmann 3 
     900667     1995    73P             Schwassmann-Wachmann 3 
     900668     1995    73P-B           Schwassmann-Wachmann 3 
     900669     2001    73P-B           Schwassmann-Wachmann 3 
     900670     2006    73P-B           Schwassmann-Wachmann 3 
     900671     1995    73P-C           Schwassmann-Wachmann 3 
     900672     2001    73P-C           Schwassmann-Wachmann 3 
